🕘️更新时间,#genre#
2025-07-08 16:20,https://gcalic.v.myalicdn.com/gc/zjjbfh_1/index.m3u8


央视频道,#genre#

//cat
CCTV-01,http://k.061899.xyz/m.php?id=cctv1 
CCTV-02,http://k.061899.xyz/m.php?id=cctv2 
CCTV-03,http://k.061899.xyz/m.php?id=cctv3 
CCTV-04,http://k.061899.xyz/m.php?id=cctv4 
CCTV-05,http://k.061899.xyz/m.php?id=cctv5 
CCTV-05+,http://k.061899.xyz/m.php?id=cctv5p 
CCTV-06,http://k.061899.xyz/m.php?id=cctv6 
CCTV-07,http://k.061899.xyz/m.php?id=cctv7 
CCTV-08,http://k.061899.xyz/m.php?id=cctv8 
CCTV-09,http://k.061899.xyz/m.php?id=cctv9 
CCTV-10,http://k.061899.xyz/m.php?id=cctv10 
CCTV-11,http://k.061899.xyz/m.php?id=cctv11 
CCTV-12,http://k.061899.xyz/m.php?id=cctv12 
CCTV-13,http://k.061899.xyz/m.php?id=cctv13 
CCTV-14,http://k.061899.xyz/m.php?id=cctv14 
CCTV-15,http://k.061899.xyz/m.php?id=cctv15 
CCTV-16,http://k.061899.xyz/m.php?id=cctv16 
CCTV-17,http://k.061899.xyz/m.php?id=cctv17 

//LM 全网通
CCTV-01,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】 
CCTV-02,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】
CCTV-03,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】
CCTV-04,http://php.cqshushu.ggff.net/jzb.php?id=cctv4&公众号【医工学习日志】
CCTV-05,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】
CCTV-05+,http://php.cqshushu.ggff.net/jzb.php?id=cctv5plus&公众号【医工学习日志】
CCTV-06,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】
CCTV-07,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】
CCTV-08,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】
CCTV-09,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】
CCTV-12,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】
CCTV-13,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】
CCTV-15,http://php.cqshushu.ggff.net/jzb.php?id=cctv15&公众号【医工学习日志】
CCTV-17,http://php.cqshushu.ggff.net/jzb.php?id=cctv17&公众号【医工学习日志】
CCTV-04美洲,http://php.cqshushu.ggff.net/jzb.php?id=cctv4m&公众号【医工学习日志】
CCTV-04欧洲,http://php.cqshushu.ggff.net/jzb.php?id=cctv4o&公众号【医工学习日志】



//小飞
